model,model_type,seed,epochs,batch_size,lr,weight_decay,dropout,cross_layers,cross_rank,embed_dim,hidden_dims,cutoff_kind,best_epoch,best_margin,best_val_score,train_loss_last,train_acc,train_mcc,train_recall_down,train_recall_sideways,train_recall_up,train_recall_min,train_recall_gap,train_pred_up_share,train_true_up_share,train_pred_down_share,train_true_down_share,train_pred_sideways_share,train_true_sideways_share,train_true_balance_gap_ud,train_pred_balance_gap_ud,train_pred_target_gap,train_support_true_0,train_support_pred_0,train_share_true_0,train_share_pred_0,train_cm_00,train_cm_01,train_support_true_1,train_support_pred_1,train_share_true_1,train_share_pred_1,train_cm_10,train_cm_11,val_acc,val_mcc,val_recall_down,val_recall_sideways,val_recall_up,val_recall_min,val_recall_gap,val_pred_up_share,val_true_up_share,val_pred_down_share,val_true_down_share,val_pred_sideways_share,val_true_sideways_share,val_true_balance_gap_ud,val_pred_balance_gap_ud,val_pred_target_gap,val_support_true_0,val_support_pred_0,val_share_true_0,val_share_pred_0,val_cm_00,val_cm_01,val_support_true_1,val_support_pred_1,val_share_true_1,val_share_pred_1,val_cm_10,val_cm_11,test_acc,test_mcc,test_recall_down,test_recall_sideways,test_recall_up,test_recall_min,test_recall_gap,test_pred_up_share,test_true_up_share,test_pred_down_share,test_true_down_share,test_pred_sideways_share,test_true_sideways_share,test_true_balance_gap_ud,test_pred_balance_gap_ud,test_pred_target_gap,test_support_true_0,test_support_pred_0,test_share_true_0,test_share_pred_0,test_cm_00,test_cm_01,test_support_true_1,test_support_pred_1,test_share_true_1,test_share_pred_1,test_cm_10,test_cm_11
dcn_dropout_high,dcn,45,6,512,0.001,0.0001,0.4,3,64,32,384x192x96,threshold,6,0.59,0.4045778172946195,0.0941100537776947,0.9990503323836656,0.9980753712152772,0.998303647158609,,1.0,0.998303647158609,0.001696352841391,0.4411206077872744,0.4401709401709401,0.5588793922127255,0.5598290598290598,0.0,0.0,0.1196581196581196,0.117758784425451,0.0009496676163343,1179.0,1177.0,0.5598290598290598,0.5588793922127255,1177.0,2.0,927.0,929.0,0.4401709401709401,0.4411206077872744,0.0,927.0,0.4124168514412417,-0.1745090291312252,0.411522633744856,,0.4134615384615384,0.411522633744856,0.0019389047166824,0.5077605321507761,0.4611973392461197,0.4922394678492239,0.5388026607538803,0.0,0.0,0.0776053215077605,0.0155210643015521,0.0465631929046563,243.0,222.0,0.5388026607538803,0.4922394678492239,100.0,143.0,208.0,229.0,0.4611973392461197,0.5077605321507761,122.0,86.0,0.6703539823008849,0.1314438122328391,0.6681715575620768,,0.7777777777777778,0.6681715575620768,0.1096062202157009,0.3407079646017699,0.0199115044247787,0.6592920353982301,0.9800884955752212,0.0,0.0,0.9601769911504424,0.3185840707964602,0.3207964601769911,443.0,298.0,0.9800884955752212,0.6592920353982301,296.0,147.0,9.0,154.0,0.0199115044247787,0.3407079646017699,2.0,7.0
dcn_cross_heavy,dcn,44,6,512,0.001,0.0001,0.15,6,128,32,384x192x96,threshold,4,0.48,0.4699287398338888,0.1059387996792793,0.9971509971509972,0.9942197382317152,0.998303647158609,,0.9956850053937432,0.9956850053937432,0.0026186417648657,0.4392212725546059,0.4401709401709401,0.5607787274453941,0.5598290598290598,0.0,0.0,0.1196581196581196,0.1215574548907882,0.0009496676163342,1179.0,1181.0,0.5598290598290598,0.5607787274453941,1177.0,2.0,927.0,925.0,0.4401709401709401,0.4392212725546059,4.0,923.0,0.4789356984478936,-0.0417391808238957,0.4773662551440329,,0.4807692307692308,0.4773662551440329,0.0034029756251978,0.5033259423503326,0.4611973392461197,0.4966740576496674,0.5388026607538803,0.0,0.0,0.0776053215077605,0.0066518847006651,0.0421286031042128,243.0,224.0,0.5388026607538803,0.4966740576496674,116.0,127.0,208.0,227.0,0.4611973392461197,0.5033259423503326,108.0,100.0,0.8893805309734514,0.2434052980395101,0.8939051918735892,,0.6666666666666666,0.6666666666666666,0.2272385252069225,0.1172566371681416,0.0199115044247787,0.8827433628318584,0.9800884955752212,0.0,0.0,0.9601769911504424,0.7654867256637168,0.0973451327433628,443.0,399.0,0.9800884955752212,0.8827433628318584,396.0,47.0,9.0,53.0,0.0199115044247787,0.1172566371681416,3.0,6.0
deepfm_embed128,deepfm,45,6,512,0.001,0.0001,0.15,3,64,128,384x192x96,threshold,3,0.9,0.0305575936910625,1.6257523536682128,0.6538461538461539,0.2859095262451366,0.8303647158608991,,0.4293419633225458,0.4293419633225458,0.4010227525383532,0.2839506172839506,0.4401709401709401,0.7160493827160493,0.5598290598290598,0.0,0.0,0.1196581196581196,0.4320987654320987,0.1562203228869895,1179.0,1508.0,0.5598290598290598,0.7160493827160493,979.0,200.0,927.0,598.0,0.4401709401709401,0.2839506172839506,529.0,398.0,0.5011086474501109,0.0342986500776033,0.3251028806584362,,0.7067307692307693,0.3251028806584362,0.381627888572333,0.6895787139689579,0.4611973392461197,0.3104212860310421,0.5388026607538803,0.0,0.0,0.0776053215077605,0.3791574279379157,0.2283813747228381,243.0,140.0,0.5388026607538803,0.3104212860310421,79.0,164.0,208.0,311.0,0.4611973392461197,0.6895787139689579,61.0,147.0,0.5929203539823009,0.1039231810742359,0.5891647855530474,,0.7777777777777778,0.5891647855530474,0.1886129922247303,0.4181415929203539,0.0199115044247787,0.581858407079646,0.9800884955752212,0.0,0.0,0.9601769911504424,0.163716814159292,0.3982300884955752,443.0,263.0,0.9800884955752212,0.581858407079646,261.0,182.0,9.0,189.0,0.0199115044247787,0.4181415929203539,2.0,7.0
deepfm_narrow,deepfm,43,6,512,0.001,0.0001,0.15,3,64,32,256x128,threshold,1,0.8,0.462667739517333,0.2679934352636337,0.6747388414055081,0.3338141943670165,0.8600508905852418,,0.4390507011866235,0.4390507011866235,0.4210001893986182,0.2716049382716049,0.4401709401709401,0.7283950617283951,0.5598290598290598,0.0,0.0,0.1196581196581196,0.4567901234567901,0.1685660018993352,1179.0,1534.0,0.5598290598290598,0.7283950617283951,1014.0,165.0,927.0,572.0,0.4401709401709401,0.2716049382716049,520.0,407.0,0.4700665188470067,-0.0595315915531745,0.4691358024691358,,0.4711538461538461,0.4691358024691358,0.0020180436847103,0.5033259423503326,0.4611973392461197,0.4966740576496674,0.5388026607538803,0.0,0.0,0.0776053215077605,0.0066518847006651,0.0421286031042128,243.0,224.0,0.5388026607538803,0.4966740576496674,114.0,129.0,208.0,227.0,0.4611973392461197,0.5033259423503326,110.0,98.0,0.9446902654867256,0.30487713151619,0.9525959367945824,,0.5555555555555556,0.5555555555555556,0.3970403812390268,0.0575221238938053,0.0199115044247787,0.9424778761061948,0.9800884955752212,0.0,0.0,0.9601769911504424,0.8849557522123894,0.0376106194690265,443.0,426.0,0.9800884955752212,0.9424778761061948,422.0,21.0,9.0,26.0,0.0199115044247787,0.0575221238938053,4.0,5.0
deepfm_narrow,deepfm,45,6,512,0.001,0.0001,0.15,3,64,32,256x128,threshold,3,0.54,0.366891840719754,0.2022794485092163,0.8513770180436847,0.697523311194143,0.8931297709923665,,0.7982740021574973,0.7982740021574973,0.0948557688348691,0.4112060778727445,0.4401709401709401,0.5887939221272555,0.5598290598290598,0.0,0.0,0.1196581196581196,0.1775878442545109,0.0289648622981956,1179.0,1240.0,0.5598290598290598,0.5887939221272555,1053.0,126.0,927.0,866.0,0.4401709401709401,0.4112060778727445,187.0,740.0,0.376940133037694,-0.2456856713543159,0.3786008230452675,,0.375,0.375,0.0036008230452674,0.5077605321507761,0.4611973392461197,0.4922394678492239,0.5388026607538803,0.0,0.0,0.0776053215077605,0.0155210643015521,0.0465631929046563,243.0,222.0,0.5388026607538803,0.4922394678492239,92.0,151.0,208.0,229.0,0.4611973392461197,0.5077605321507761,130.0,78.0,0.7123893805309734,0.0501978419133752,0.7178329571106095,,0.4444444444444444,0.4444444444444444,0.273388512666165,0.2853982300884956,0.0199115044247787,0.7146017699115044,0.9800884955752212,0.0,0.0,0.9601769911504424,0.4292035398230088,0.2654867256637168,443.0,323.0,0.9800884955752212,0.7146017699115044,318.0,125.0,9.0,129.0,0.0199115044247787,0.2853982300884956,5.0,4.0
dcn_high_dropout,dcn,45,6,512,0.001,0.0001,0.3,3,64,32,384x192x96,threshold,6,0.61,0.459037239359055,0.089480385184288,0.9990503323836656,0.9980730749277404,0.9991518235793044,,0.9989212513484358,0.9989212513484358,0.0002305722308687,0.4401709401709401,0.4401709401709401,0.5598290598290598,0.5598290598290598,0.0,0.0,0.1196581196581196,0.1196581196581196,0.0,1179.0,1179.0,0.5598290598290598,0.5598290598290598,1178.0,1.0,927.0,927.0,0.4401709401709401,0.4401709401709401,1.0,926.0,0.4656319290465632,-0.0684277969178139,0.4650205761316872,,0.4663461538461538,0.4650205761316872,0.0013255777144666,0.5033259423503326,0.4611973392461197,0.4966740576496674,0.5388026607538803,0.0,0.0,0.0776053215077605,0.0066518847006651,0.0421286031042128,243.0,224.0,0.5388026607538803,0.4966740576496674,113.0,130.0,208.0,227.0,0.4611973392461197,0.5033259423503326,111.0,97.0,0.7323008849557522,0.0577628478146192,0.7381489841986456,,0.4444444444444444,0.4444444444444444,0.2937045397542012,0.2654867256637168,0.0199115044247787,0.7345132743362832,0.9800884955752212,0.0,0.0,0.9601769911504424,0.4690265486725664,0.245575221238938,443.0,332.0,0.9800884955752212,0.7345132743362832,327.0,116.0,9.0,120.0,0.0199115044247787,0.2654867256637168,5.0,4.0
deepfm_embed96,deepfm,43,6,512,0.001,0.0001,0.15,3,64,96,384x192x96,threshold,6,0.69,0.4596040428255876,1.1434812664985656,0.835707502374169,0.6727331357888138,0.8142493638676844,,0.8629989212513485,0.8142493638676844,0.048749557383664,0.4838556505223172,0.4401709401709401,0.5161443494776828,0.5598290598290598,0.0,0.0,0.1196581196581196,0.0322886989553656,0.043684710351377,1179.0,1087.0,0.5598290598290598,0.5161443494776828,960.0,219.0,927.0,1019.0,0.4401709401709401,0.4838556505223172,127.0,800.0,0.4678492239467849,-0.0643236256688828,0.4691358024691358,,0.4663461538461538,0.4663461538461538,0.0027896486229819,0.5011086474501109,0.4611973392461197,0.4988913525498891,0.5388026607538803,0.0,0.0,0.0776053215077605,0.0022172949002217,0.0399113082039911,243.0,225.0,0.5388026607538803,0.4988913525498891,114.0,129.0,208.0,226.0,0.4611973392461197,0.5011086474501109,111.0,97.0,0.7676991150442478,0.0725917181128106,0.7742663656884876,,0.4444444444444444,0.4444444444444444,0.3298219212440432,0.2300884955752212,0.0199115044247787,0.7699115044247787,0.9800884955752212,0.0,0.0,0.9601769911504424,0.5398230088495575,0.2101769911504424,443.0,348.0,0.9800884955752212,0.7699115044247787,343.0,100.0,9.0,104.0,0.0199115044247787,0.2300884955752212,5.0,4.0
dcn_cross_heavy,dcn,43,6,512,0.001,0.0001,0.15,6,128,32,384x192x96,threshold,2,0.85,0.3218746573861749,0.1046893209218979,0.9515669515669516,0.9043097026925874,0.9957591178965224,,0.895361380798274,0.895361380798274,0.1003977370982485,0.3964862298195631,0.4401709401709401,0.6035137701804368,0.5598290598290598,0.0,0.0,0.1196581196581196,0.2070275403608736,0.043684710351377,1179.0,1271.0,0.5598290598290598,0.6035137701804368,1174.0,5.0,927.0,835.0,0.4401709401709401,0.3964862298195631,97.0,830.0,0.3348115299334812,-0.3298886606968593,0.3374485596707819,,0.3317307692307692,0.3317307692307692,0.0057177904400126,0.5099778270509978,0.4611973392461197,0.4900221729490022,0.5388026607538803,0.0,0.0,0.0776053215077605,0.0199556541019955,0.048780487804878,243.0,221.0,0.5388026607538803,0.4900221729490022,82.0,161.0,208.0,230.0,0.4611973392461197,0.5099778270509978,139.0,69.0,0.4601769911504424,-0.057097576995435,0.4627539503386004,,0.3333333333333333,0.3333333333333333,0.1294206170052671,0.5331858407079646,0.0199115044247787,0.4668141592920354,0.9800884955752212,0.0,0.0,0.9601769911504424,0.0663716814159292,0.5132743362831859,443.0,211.0,0.9800884955752212,0.4668141592920354,205.0,238.0,9.0,241.0,0.0199115044247787,0.5331858407079646,6.0,3.0
deepfm_embed64,deepfm,43,6,512,0.001,0.0001,0.15,3,64,64,384x192x96,threshold,5,0.62,0.5098661612652128,0.3735798954963684,0.8736942070275404,0.7489297570898443,0.9584393553859204,,0.7659115426105717,0.7659115426105717,0.1925278127753485,0.3603988603988604,0.4401709401709401,0.6396011396011396,0.5598290598290598,0.0,0.0,0.1196581196581196,0.2792022792022792,0.0797720797720797,1179.0,1347.0,0.5598290598290598,0.6396011396011396,1130.0,49.0,927.0,759.0,0.4401709401709401,0.3603988603988604,217.0,710.0,0.5144124168514412,0.0287395040170384,0.51440329218107,,0.5144230769230769,0.51440329218107,1.978474200692304e-05,0.4988913525498891,0.4611973392461197,0.5011086474501109,0.5388026607538803,0.0,0.0,0.0776053215077605,0.0022172949002217,0.0376940133037694,243.0,226.0,0.5388026607538803,0.5011086474501109,125.0,118.0,208.0,225.0,0.4611973392461197,0.4988913525498891,101.0,107.0,0.5265486725663717,-0.0381352820523016,0.5304740406320542,,0.3333333333333333,0.3333333333333333,0.1971407072987208,0.4668141592920354,0.0199115044247787,0.5331858407079646,0.9800884955752212,0.0,0.0,0.9601769911504424,0.0663716814159292,0.4469026548672566,443.0,241.0,0.9800884955752212,0.5331858407079646,235.0,208.0,9.0,211.0,0.0199115044247787,0.4668141592920354,6.0,3.0
deepfm_base,deepfm,43,6,512,0.001,0.0001,0.15,3,64,32,384x192x96,threshold,2,0.38,0.557608663418284,0.2805899798870087,0.6685660018993352,0.323231167354348,0.8778625954198473,,0.4023732470334412,0.4023732470334412,0.4754893483864061,0.2454890788224121,0.4401709401709401,0.7545109211775879,0.5598290598290598,0.0,0.0,0.1196581196581196,0.5090218423551758,0.194681861348528,1179.0,1589.0,0.5598290598290598,0.7545109211775879,1035.0,144.0,927.0,517.0,0.4401709401709401,0.2454890788224121,554.0,373.0,0.5631929046563193,0.125912887967378,0.5637860082304527,,0.5625,0.5625,0.0012860082304526,0.4944567627494456,0.4611973392461197,0.5055432372505543,0.5388026607538803,0.0,0.0,0.0776053215077605,0.0110864745011086,0.0332594235033259,243.0,228.0,0.5388026607538803,0.5055432372505543,137.0,106.0,208.0,223.0,0.4611973392461197,0.4944567627494456,91.0,117.0,0.7035398230088495,0.013669794458931,0.7110609480812641,,0.3333333333333333,0.3333333333333333,0.3777276147479307,0.2898230088495575,0.0199115044247787,0.7101769911504425,0.9800884955752212,0.0,0.0,0.9601769911504424,0.420353982300885,0.2699115044247788,443.0,321.0,0.9800884955752212,0.7101769911504425,315.0,128.0,9.0,131.0,0.0199115044247787,0.2898230088495575,6.0,3.0
