model,model_type,seed,best_margin,best_val_score,test_recall_down,test_recall_up,test_recall_min,test_recall_gap,test_mcc,test_acc
dcn_dropout_high,dcn,45,0.59,0.4045778172946195,0.6681715575620768,0.7777777777777778,0.6681715575620768,0.1096062202157009,0.1314438122328391,0.6703539823008849
dcn_cross_heavy,dcn,44,0.48,0.4699287398338888,0.8939051918735892,0.6666666666666666,0.6666666666666666,0.2272385252069225,0.2434052980395101,0.8893805309734514
deepfm_embed128,deepfm,45,0.9,0.0305575936910625,0.5891647855530474,0.7777777777777778,0.5891647855530474,0.1886129922247303,0.1039231810742359,0.5929203539823009
deepfm_narrow,deepfm,43,0.8,0.462667739517333,0.9525959367945824,0.5555555555555556,0.5555555555555556,0.3970403812390268,0.30487713151619,0.9446902654867256
deepfm_narrow,deepfm,45,0.54,0.366891840719754,0.7178329571106095,0.4444444444444444,0.4444444444444444,0.273388512666165,0.0501978419133752,0.7123893805309734
dcn_high_dropout,dcn,45,0.61,0.459037239359055,0.7381489841986456,0.4444444444444444,0.4444444444444444,0.2937045397542012,0.0577628478146192,0.7323008849557522
deepfm_embed96,deepfm,43,0.69,0.4596040428255876,0.7742663656884876,0.4444444444444444,0.4444444444444444,0.3298219212440432,0.0725917181128106,0.7676991150442478
dcn_cross_heavy,dcn,43,0.85,0.3218746573861749,0.4627539503386004,0.3333333333333333,0.3333333333333333,0.1294206170052671,-0.057097576995435,0.4601769911504424
deepfm_embed64,deepfm,43,0.62,0.5098661612652128,0.5304740406320542,0.3333333333333333,0.3333333333333333,0.1971407072987208,-0.0381352820523016,0.5265486725663717
deepfm_base,deepfm,43,0.38,0.557608663418284,0.7110609480812641,0.3333333333333333,0.3333333333333333,0.3777276147479307,0.013669794458931,0.7035398230088495
dcn_cross_light,dcn,44,0.86,0.377539930083968,0.7562076749435666,0.3333333333333333,0.3333333333333333,0.4228743416102332,0.0290607233016792,0.7477876106194691
dcn_dropout_low,dcn,45,0.68,0.4336227784059762,0.7607223476297968,0.3333333333333333,0.3333333333333333,0.4273890142964635,0.0307148105488805,0.7522123893805309
dcn_cross_light,dcn,42,0.73,0.4357565334394602,0.8194130925507901,0.3333333333333333,0.3333333333333333,0.4860797592174568,0.0551114636962686,0.8097345132743363
deepfm_wider_mlp,deepfm,43,0.5,0.4596672952160757,0.8442437923250564,0.3333333333333333,0.3333333333333333,0.510910458991723,0.0677878864542332,0.834070796460177
dcn_cross_light,dcn,45,0.89,0.40661660556647,0.8600451467268623,0.3333333333333333,0.3333333333333333,0.5267118133935289,0.0769873018636019,0.8495575221238938
