model,seed,epochs,batch_size,lr,weight_decay,dropout,cross_layers,cross_rank,hidden_dims,best_epoch,best_margin,best_val_score,train_loss_last,train_acc,train_mcc,train_recall_down,train_recall_sideways,train_recall_up,train_recall_min,train_recall_gap,train_pred_up_share,train_true_up_share,train_pred_target_gap,val_acc,val_mcc,val_recall_down,val_recall_sideways,val_recall_up,val_recall_min,val_recall_gap,val_pred_up_share,val_true_up_share,val_pred_target_gap,test_acc,test_mcc,test_recall_down,test_recall_sideways,test_recall_up,test_recall_min,test_recall_gap,test_pred_up_share,test_true_up_share,test_pred_target_gap
high_dropout,43,3,512,0.001,0.0001,0.3,3,64,384x192x96,3,0.0,0.19545341378855688,0.6661391019821167,0.5291607396870555,0.41056179422636135,0.9070567986230637,0.0,0.8964992389649924,0.8964992389649924,0.010557559658071258,0.5149359886201992,0.31152204836415365,0.20341394025604553,0.4358407079646018,0.08515257345571914,0.754601226993865,0.0,0.3523809523809524,0.3523809523809524,0.4022202746129126,0.3030973451327434,0.4646017699115044,0.16150442477876104,0.5066371681415929,0.10259205232399626,0.5894736842105263,0.0,0.5342465753424658,0.5342465753424658,0.05522710886806048,0.48451327433628316,0.48451327433628316,0.0
base,43,3,512,0.001,0.0001,0.15,3,64,384x192x96,1,0.0,0.2531807605500531,0.5603839635849,0.4613560929350403,0.294519000612289,0.8175559380378657,0.0,0.7579908675799086,0.7579908675799086,0.059565070457957114,0.4793741109530583,0.31152204836415365,0.16785206258890467,0.44026548672566373,0.08819886520965942,0.7239263803680982,0.0,0.38571428571428573,0.38571428571428573,0.33821209465381247,0.3230088495575221,0.4646017699115044,0.1415929203539823,0.47123893805309736,0.03599610748634313,0.5368421052631579,0.0,0.5068493150684932,0.5068493150684932,0.02999279019466472,0.4911504424778761,0.48451327433628316,0.006637168141592931
compact_mlp,43,3,512,0.001,0.0001,0.15,3,64,256x128,2,0.0,0.44372301893231364,0.5808017969131469,0.5154101469890944,0.3888663386130397,0.846815834767642,0.0,0.9056316590563166,0.846815834767642,0.0588158242886746,0.5998103366524419,0.31152204836415365,0.28828828828828823,0.45132743362831856,0.07922656381646197,0.6196319018404908,0.0,0.49047619047619045,0.49047619047619045,0.12915571136430032,0.4491150442477876,0.4646017699115044,0.015486725663716838,0.47123893805309736,0.023045643697686514,0.4263157894736842,0.0,0.6027397260273972,0.4263157894736842,0.17642393655371302,0.6039823008849557,0.48451327433628316,0.11946902654867259
deep_cross,43,3,512,0.001,0.0001,0.15,5,64,384x192x96,1,0.0,0.3241693747915584,0.5076323509216308,0.47605500237079185,0.31963152253658994,0.8554216867469879,0.0,0.771689497716895,0.771689497716895,0.08373218903009294,0.48601232811759126,0.31152204836415365,0.17449027975343762,0.41814159292035397,0.031280874375524105,0.6319018404907976,0.0,0.4095238095238095,0.4095238095238095,0.22237803096698805,0.3893805309734513,0.4646017699115044,0.0752212389380531,0.4469026548672566,-0.018348566180643164,0.42105263157894735,0.0,0.5570776255707762,0.42105263157894735,0.13602499399182888,0.5663716814159292,0.48451327433628316,0.08185840707964603
deep_cross,42,3,512,0.001,0.0001,0.15,5,64,384x192x96,1,0.0,0.270683921106311,0.5071191787719727,0.4770033191085823,0.31961479950091726,0.8055077452667814,0.0,0.8188736681887366,0.8055077452667814,0.013365922921955264,0.5120910384068279,0.31152204836415365,0.20056899004267426,0.4446902654867257,0.08469774081038033,0.7239263803680982,0.0,0.3952380952380952,0.3952380952380952,0.328688285130003,0.3694690265486726,0.4646017699115044,0.09513274336283184,0.45132743362831856,-0.015914229977626558,0.3631578947368421,0.0,0.6164383561643836,0.3631578947368421,0.25328046142754146,0.6128318584070797,0.48451327433628316,0.1283185840707965
wider_mlp,43,3,512,0.001,0.0001,0.15,3,64,512x256x128,3,0.0,0.27592800136505014,0.5671790242195129,0.5429113323850165,0.43421098490452326,0.9449225473321858,0.0,0.9071537290715372,0.9071537290715372,0.037768818260648596,0.5419630156472262,0.31152204836415365,0.2304409672830725,0.45353982300884954,0.10984487429157454,0.7361963190184049,0.0,0.40476190476190477,0.40476190476190477,0.3314344142565001,0.336283185840708,0.4646017699115044,0.12831858407079644,0.45353982300884954,0.02442838656510157,0.6842105263157895,0.0,0.3424657534246575,0.3424657534246575,0.341744772891132,0.3252212389380531,0.48451327433628316,0.15929203539823006
high_dropout,42,3,512,0.001,0.0001,0.3,3,64,384x192x96,1,0.01,0.37401713810015025,0.6868330478668213,0.45614035087719296,0.28305810176211593,0.5266781411359724,0.06659012629161883,0.9101978691019786,0.5266781411359724,0.3835197279660062,0.7107633949739213,0.31152204836415365,0.3992413466097676,0.415929203539823,-0.0006726493951126364,0.4294478527607362,0.0,0.5619047619047619,0.4294478527607362,0.1324569091440257,0.5553097345132744,0.4646017699115044,0.09070796460176994,0.3694690265486726,-0.10489145783264411,0.48947368421052634,0.0,0.3378995433789954,0.3378995433789954,0.15157414083153092,0.4026548672566372,0.48451327433628316,0.08185840707964598
wider_mlp,42,3,512,0.001,0.0001,0.15,3,64,512x256x128,3,0.0,0.45846672302668817,0.5924754619598389,0.5343764817449028,0.4292156879154284,0.9845094664371773,0.0,0.8447488584474886,0.8447488584474886,0.1397606079896887,0.42911332385016593,0.31152204836415365,0.11759127548601228,0.48008849557522126,0.13147977881838613,0.6687116564417178,0.0,0.5142857142857142,0.5142857142857142,0.15442594215600358,0.4469026548672566,0.4646017699115044,0.017699115044247815,0.5265486725663717,0.1241722680749909,0.33157894736842103,0.0,0.7990867579908676,0.33157894736842103,0.46750781062244656,0.7278761061946902,0.48451327433628316,0.24336283185840707
base,42,3,512,0.001,0.0001,0.15,3,64,384x192x96,1,0.0,0.47313616374396006,0.5690129160881042,0.46372688477951635,0.30182931997036777,0.6815834767641996,0.0,0.8858447488584474,0.6815834767641996,0.20426127209424783,0.6519677572309152,0.31152204836415365,0.3404457088667615,0.39823008849557523,-0.02452069688556613,0.4785276073619632,0.0,0.4857142857142857,0.4785276073619632,0.007186678352322506,0.49336283185840707,0.4646017699115044,0.028761061946902644,0.3938053097345133,-0.09449469694546128,0.6210526315789474,0.0,0.273972602739726,0.273972602739726,0.3470800288392214,0.334070796460177,0.48451327433628316,0.15044247787610615
compact_mlp,42,3,512,0.001,0.0001,0.15,3,64,256x128,3,0.0,0.4538814991765749,0.570993959903717,0.5367472735893789,0.4251768113119692,0.9518072289156626,0.0,0.8812785388127854,0.8812785388127854,0.07052869010287721,0.49122807017543857,0.31152204836415365,0.17970602181128492,0.4314159292035398,0.027155116116255127,0.48466257668711654,0.0,0.5523809523809524,0.48466257668711654,0.06771837569383587,0.5353982300884956,0.4646017699115044,0.0707964601769912,0.48008849557522126,0.026065234954332626,0.2736842105263158,0.0,0.7534246575342466,0.2736842105263158,0.4797404470079308,0.7389380530973452,0.48451327433628316,0.254424778761062
