coord_mode,gauss_window,gauss_std,orb_mult,exclude_bodies,n_features,recall_min,recall_gap,recall_down,recall_up,balanced_accuracy,mcc,f1_macro,threshold
geo,75,50.0,0.05,Mercury,652,0.4954954954954955,0.0653740697218958,0.5608695652173913,0.4954954954954955,0.5281825303564434,0.0564807734629389,0.5279269207572704,0.4999999999999999
geo,75,50.0,0.05,"MeanNode,Pluto",567,0.4913043478260869,0.0627497062279671,0.4913043478260869,0.5540540540540541,0.5226792009400705,0.0454385640667683,0.5218898748310512,0.4799999999999999
geo,75,50.0,0.1,none,767,0.4782608695652174,0.0532706619663141,0.4782608695652174,0.5315315315315315,0.5048962005483745,0.0098046982852961,0.5042694868781825,0.5099999999999999
geo,75,50.0,0.05,Jupiter,644,0.4739130434782608,0.0260869565217391,0.4739130434782608,0.5,0.4869565217391304,-0.0260920671019667,0.4867156142927068,0.4999999999999999
geo,75,50.0,0.05,"MeanNode,Venus",549,0.4695652173913043,0.0574618096357226,0.4695652173913043,0.527027027027027,0.4982961222091656,-0.0034128727113096,0.4975884205011188,0.4999999999999999
geo,75,50.0,0.05,Sun,650,0.4549549549549549,0.1233059146102624,0.5782608695652174,0.4549549549549549,0.5166079122600862,0.0334684800231307,0.5152695789059425,0.5099999999999999
geo,75,50.0,0.05,Venus,648,0.4459459459459459,0.1366627497062279,0.5826086956521739,0.4459459459459459,0.5142773207990599,0.0288226064214713,0.5125640760492223,0.4999999999999999
geo,75,50.0,0.05,"Pluto,Saturn",567,0.4391304347826087,0.1644731688209949,0.4391304347826087,0.6036036036036037,0.5213670191931061,0.0433117333499196,0.5173387791255567,0.4899999999999999
geo,75,50.0,0.05,none,757,0.4304347826086956,0.1641598119858989,0.4304347826086956,0.5945945945945946,0.5125146886016452,0.0253677338318961,0.508441798095613,0.4999999999999999
geo,75,50.0,0.05,Saturn,654,0.4009009009009009,0.190403446925186,0.591304347826087,0.4009009009009009,0.4961026243634939,-0.0079385462983543,0.4922981766001137,0.4999999999999999
geo,75,50.0,0.1,Sun,658,0.3603603603603603,0.3222483352918135,0.6826086956521739,0.3603603603603603,0.5214845280062671,0.0453957199796834,0.510119722747322,0.4899999999999999
geo,75,50.0,0.05,"Pluto,Venus",569,0.3558558558558558,0.3397963180571876,0.6956521739130435,0.3558558558558558,0.5257540148844496,0.0547773344258948,0.5131256226516236,0.4899999999999999
geo,75,50.0,0.05,Moon,634,0.3243243243243243,0.4191539365452409,0.7434782608695653,0.3243243243243243,0.5339012925969449,0.0747133989465515,0.5143108332519293,0.4999999999999999
geo,75,50.0,0.05,Mars,636,0.2882882882882883,0.4204073638856248,0.7086956521739131,0.2882882882882883,0.4984919702311007,-0.0033234729745144,0.4771288874721726,0.4999999999999999
geo,75,50.0,0.05,MeanNode,648,0.2434782608695652,0.5583235409322366,0.2434782608695652,0.8018018018018018,0.5226400313356835,0.0545350973561252,0.4798014993136944,0.4899999999999999
geo,75,50.0,0.05,Pluto,668,0.2342342342342342,0.4962005483744614,0.7304347826086957,0.2342342342342342,0.4823345084214649,-0.0406710469548124,0.4505365526492287,0.4999999999999999
geo,75,50.0,0.05,Uranus,662,0.2260869565217391,0.5622013317665492,0.2260869565217391,0.7882882882882883,0.5071876224050137,0.0173760358799731,0.4624025373331571,0.4899999999999999
geo,75,50.0,0.05,Neptune,662,0.2252252252252252,0.5226008617312965,0.7478260869565218,0.2252252252252252,0.4865256560908735,-0.0315927135400583,0.4511667194594023,0.4999999999999999
geo,75,50.0,0.05,"MeanNode,Saturn",555,0.1981981981981982,0.5452800626713671,0.7434782608695653,0.1981981981981982,0.4708382295338817,-0.069510908119322,0.4307214029493822,0.4999999999999999
geo,75,50.0,0.1,Moon,642,0.1869565217391304,0.5968272620446533,0.1869565217391304,0.7837837837837838,0.4853701527614571,-0.0364784095667225,0.4324126470132465,0.4899999999999999
