horizon,gauss_window,gauss_std,coord_mode,orb_multiplier,include_phases,max_depth,learning_rate,weight_power,sideways_penalty,n_estimators,subsample,colsample_bytree,bal_acc,f1_macro,mcc,recall_down,recall_up,recall_min,recall_gap,up_down_min,up_down_gap
1,201,50.0,helio,0.15,True,9,0.03,2.0,1.0,500,0.8,0.8,0.3743517208863743,0.3018963968436716,0.0598503244656622,0.4801980198019802,0.5,0.4801980198019802,0.01980198019801982,0.4801980198019802,0.01980198019801982
1,201,100.0,helio,0.15,True,9,0.03,2.0,1.0,500,0.8,0.8,0.377649253598499,0.32405982714463316,0.06367587999847507,0.48058252427184467,0.4444444444444444,0.4444444444444444,0.03613807982740025,0.4444444444444444,0.03613807982740025
1,201,50.0,helio,0.15,True,5,0.05,2.0,1.0,500,0.8,0.8,0.3333401074097557,0.28357397420128044,0.02910484462968611,0.4207920792079208,0.4166666666666667,0.4166666666666667,0.004125412541254092,0.4166666666666667,0.004125412541254092
1,201,100.0,helio,0.15,True,9,0.01,2.0,1.0,500,0.8,0.8,0.39202331236359883,0.2872277888230766,0.06164075465187537,0.4029126213592233,0.6444444444444445,0.4029126213592233,0.2415318230852212,0.4029126213592233,0.2415318230852212
1,101,50.0,both,0.15,True,9,0.05,2.0,0.5,500,0.8,0.8,0.34504419607549525,0.3064625446047767,0.0327318303299573,0.4228855721393035,0.3829787234042553,0.3829787234042553,0.039906848735048184,0.3829787234042553,0.039906848735048184
1,201,50.0,geo,0.15,True,9,0.05,2.0,0.5,500,0.8,0.8,0.37743257084329124,0.32213745850109493,0.05608660010316896,0.3564356435643564,0.5,0.3564356435643564,0.14356435643564358,0.3564356435643564,0.14356435643564358
1,201,50.0,helio,0.15,True,9,0.05,2.0,1.0,500,0.8,0.8,0.3347396315986278,0.26686714455894345,0.006173357990285068,0.3564356435643564,0.5,0.3564356435643564,0.14356435643564358,0.3564356435643564,0.14356435643564358
1,101,50.0,geo,0.15,True,9,0.05,2.0,0.5,500,0.8,0.8,0.34253554920433293,0.32062440259371205,0.027872486717044728,0.30845771144278605,0.3191489361702128,0.30845771144278605,0.01069122472742673,0.30845771144278605,0.01069122472742673
1,101,100.0,helio,0.15,True,9,0.05,2.0,1.0,500,0.8,0.8,0.3271334272157202,0.2694095369254605,0.017025372732237976,0.2964824120603015,0.4897959183673469,0.2964824120603015,0.1933135063070454,0.2964824120603015,0.1933135063070454
1,101,50.0,helio,0.15,True,9,0.03,2.0,1.0,500,0.8,0.8,0.34188941127264555,0.2523193147155975,0.027264323009839532,0.2835820895522388,0.5957446808510638,0.2835820895522388,0.312162591298825,0.2835820895522388,0.312162591298825
1,101,50.0,geo,0.15,True,9,0.01,2.0,0.5,500,0.8,0.8,0.3533797884819115,0.31134233453074034,0.03167798561786399,0.2736318407960199,0.425531914893617,0.2736318407960199,0.15190007409759715,0.2736318407960199,0.15190007409759715
1,101,50.0,helio,0.15,True,9,0.05,2.0,1.0,500,0.8,0.8,0.3122472742669631,0.2548931623931624,-0.013249790474173101,0.26865671641791045,0.46808510638297873,0.26865671641791045,0.1994283899650683,0.26865671641791045,0.1994283899650683
1,201,50.0,both,0.15,True,3,0.05,2.0,1.0,500,0.8,0.8,0.37248884987020875,0.33067696382362577,0.04374229285451515,0.2623762376237624,0.4166666666666667,0.2623762376237624,0.1542904290429043,0.2623762376237624,0.1542904290429043
1,101,100.0,geo,0.15,True,9,0.01,2.0,0.5,500,0.8,0.8,0.35028452366361423,0.3075799083266264,0.020807651430052747,0.2613065326633166,0.42857142857142855,0.2613065326633166,0.16726489590811194,0.2613065326633166,0.16726489590811194
1,101,50.0,geo,0.15,True,9,0.03,2.0,0.5,500,0.8,0.8,0.3298420542160328,0.31938303937121204,0.02449403982673862,0.3781094527363184,0.2553191489361702,0.2553191489361702,0.12279030380014821,0.2553191489361702,0.12279030380014821
1,101,100.0,helio,0.15,True,9,0.03,2.0,1.0,500,0.8,0.8,0.31428137868703065,0.2412495712811382,-0.010060652533646602,0.25125628140703515,0.5306122448979592,0.25125628140703515,0.27935596349092406,0.25125628140703515,0.27935596349092406
1,201,50.0,both,0.15,True,3,0.03,2.0,1.0,500,0.8,0.8,0.3268017688468354,0.3137949247847697,0.02445165740417291,0.2722772277227723,0.25,0.25,0.022277227722772297,0.25,0.022277227722772297
