exclude_bodies,n_excluded,n_features,bal_acc,recall_down,recall_up,up_down_min,up_down_gap
"Mars,Uranus",2,610,0.36572256363567385,0.5792079207920792,0.10416666666666667,0.10416666666666667,0.4750412541254125
"Sun,Saturn",2,620,0.3586887013824535,0.5247524752475248,0.08333333333333333,0.08333333333333333,0.44141914191419146
"Mercury,Pluto",2,624,0.358320530328895,0.5297029702970297,0.0625,0.0625,0.46720297029702973
Pluto,1,732,0.3744702672237667,0.594059405940594,0.041666666666666664,0.041666666666666664,0.5523927392739274
"Moon,Uranus",2,609,0.3443340947395232,0.47029702970297027,0.020833333333333332,0.020833333333333332,0.44946369636963696
"Pluto,Node",2,518,0.3395868219826909,0.5792079207920792,0.020833333333333332,0.020833333333333332,0.5583745874587458
"Sun,Pluto",2,628,0.35766547713884683,0.5891089108910891,0.020833333333333332,0.020833333333333332,0.5682755775577557
"Sun,Node",2,510,0.3528531732483593,0.6584158415841584,0.020833333333333332,0.020833333333333332,0.6375825082508251
Saturn,1,724,0.33327067312642594,0.7326732673267327,0.020833333333333332,0.020833333333333332,0.7118399339933993
"Mercury,Saturn",2,616,0.3570453104423743,0.4405940594059406,0.0,0.0,0.4405940594059406
"Moon,Venus",2,593,0.33573135638687024,0.4603960396039604,0.0,0.0,0.4603960396039604
"Mercury,Mars",2,594,0.34559170202734557,0.46534653465346537,0.0,0.0,0.46534653465346537
"Mercury,Neptune",2,622,0.3505340681851436,0.4752475247524752,0.0,0.0,0.4752475247524752
"Mercury,Node",2,506,0.3390398153115804,0.4752475247524752,0.0,0.0,0.4752475247524752
"Saturn,Neptune",2,624,0.3374059080784926,0.4801980198019802,0.0,0.0,0.4801980198019802
"Venus,Pluto",2,624,0.327561820221431,0.48514851485148514,0.0,0.0,0.48514851485148514
"Neptune,Pluto",2,630,0.3571265993594433,0.4900990099009901,0.0,0.0,0.4900990099009901
"Moon,Pluto",2,609,0.36370287275032925,0.49504950495049505,0.0,0.0,0.49504950495049505
"Saturn,Pluto",2,624,0.36863711001642036,0.5,0.0,0.0,0.5
"Mars,Jupiter",2,592,0.34401469703620613,0.504950495049505,0.0,0.0,0.504950495049505
"Neptune,Node",2,516,0.3374709392121478,0.5198019801980198,0.0,0.0,0.5198019801980198
"Moon,Mercury",2,593,0.34405534149474065,0.5297029702970297,0.0,0.0,0.5297029702970297
"Uranus,Pluto",2,632,0.3621177388674828,0.5297029702970297,0.0,0.0,0.5297029702970297
"Mercury,Venus",2,602,0.35391568713521604,0.5346534653465347,0.0,0.0,0.5346534653465347
"Mercury,Jupiter",2,606,0.34407159927815445,0.5396039603960396,0.0,0.0,0.5396039603960396
Mars,1,702,0.32930953193841556,0.5495049504950495,0.0,0.0,0.5495049504950495
Jupiter,1,714,0.3473881870945716,0.5594059405940595,0.0,0.0,0.5594059405940595
"Jupiter,Node",2,504,0.3227576452226504,0.5594059405940595,0.0,0.0,0.5594059405940595
Mercury,1,716,0.34575427986148366,0.5643564356435643,0.0,0.0,0.5643564356435643
"Mars,Pluto",2,610,0.34411224373668886,0.5643564356435643,0.0,0.0,0.5643564356435643
"Mars,Node",2,492,0.3424702076118942,0.5643564356435643,0.0,0.0,0.5643564356435643
Moon,1,701,0.3572647905184607,0.5742574257425742,0.0,0.0,0.5742574257425742
"Venus,Neptune",2,622,0.32935017639695,0.5742574257425742,0.0,0.0,0.5742574257425742
"Sun,Mercury",2,604,0.3523468110357834,0.5792079207920792,0.0,0.0,0.5792079207920792
"Sun,Venus",2,604,0.3129460729324164,0.5841584158415841,0.0,0.0,0.5841584158415841
"Moon,Saturn",2,601,0.33429254255474805,0.5841584158415841,0.0,0.0,0.5841584158415841
"Venus,Jupiter",2,606,0.3162301451820059,0.5841584158415841,0.0,0.0,0.5841584158415841
"Venus,Mars",2,594,0.34415288819522344,0.5891089108910891,0.0,0.0,0.5891089108910891
"Jupiter,Saturn",2,612,0.33265863532166023,0.5891089108910891,0.0,0.0,0.5891089108910891
"Venus,Saturn",2,616,0.3408769448373408,0.594059405940594,0.0,0.0,0.594059405940594
"Jupiter,Uranus",2,620,0.33759287258775134,0.594059405940594,0.0,0.0,0.594059405940594
